crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,90151315,01152009,1190 FOSTER ST NW,203,Blandtown,D,33.78721,-84.41453
AUTO THEFT,90152124,01152009,2798 PEEK ROAD,112,Collier Heights,I,33.77751,-84.478
LARCENY-FROM VEHICLE,90150084,01152009,2065 DUNWOODY ST NE,610,Kirkwood,O,33.75207,-84.32007
AGG ASSAULT,90140760,01142009,511 NORTH AVE NE,603,Old Fourth Ward,M,33.77079,-84.37042
LARCENY-FROM VEHICLE,90140359,01142009,3529 LYNFIELD DR SW,406,West Manor,I,33.73456,-84.50002
LARCENY-FROM VEHICLE,90141692,01142009,242 NAPOLEON DR SW,104,Ashview Heights,T,33.74807,-84.42727
LARCENY-NON VEHICLE,90148069,01142009,PRECINCT @6000 N TERMINAL PKWY,50,,,33.64184,-84.4477
BURGLARY-NONRES,90130261,01132009,100 EDGEWOOD AVE,510,Downtown,M,33.75456,-84.38521
LARCENY-NON VEHICLE,90130776,01132009,1099 EUCLID AVE,602,Inman Park,N,33.76376,-84.35075
LARCENY-NON VEHICLE,90131436,01132009,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
AUTO THEFT,90120238,01122009,3607 GINNIS DR SW,407,Fairburn Mays,H,33.73139,-84.51111
BURGLARY-RESIDENCE,90120893,01122009,391 YONKERS AVE NW,107,Grove Park,J,33.76596,-84.4548
AUTO THEFT,90121585,01122009,SPRING ST NW / NASSAU ST NW,508,Downtown,M,33.75776,-84.39157
LARCENY-FROM VEHICLE,90110927,01112009,3400 STRATFORD RD NE,208,North Buckhead,B,33.84923,-84.36689
BURGLARY-RESIDENCE,90110577,01112009,3136 LOVELL DR SW,409,Southwest,R,33.70595,-84.49153
BURGLARY-RESIDENCE,90111219,01112009,386 PARKWAY DR NE,603,Old Fourth Ward,M,33.76504,-84.37362
AUTO THEFT,90092026,01102009,1132 WEST PEACHTREE STREET,205,Channing Valley,C,33.80509,-84.41043
